kode_pintu	tinggi_air	kode_kota	banjir
3	1250	1	1
5	3450	0	1
11	7170	0	1
3	1250	1	1
5	3450	0	1
9	9340	0	1
10	1320	3	1
11	7150	0	1
12	1960	2	1
3	1250	1	1
14	-1240	2	1
3	1250	1	1
17	2920	4	1
3	1250	1	1
19	2690	3	1
3	1250	1	1
3	1250	1	1
3	1250	1	1
12	1900	2	1
12	1900	2	1
0	350	0	1
0	350	0	1
0	350	0	1
0	350	0	1
0	350	0	1
0	370	0	1
3	1250	1	1
3	1250	1	1
9	9250	0	1
10	1150	3	1
11	6990	0	1
3	1250	1	1
14	-1410	2	1
3	1250	1	1
3	1250	1	1
17	2910	4	1
3	1250	1	1
19	2650	3	1
3	1250	1	1
3	1250	1	1
0	370	0	1
7	710	0	1
8	2330	0	1
9	9270	0	1
10	890	3	1
11	6800	0	1
13	1470	2	1
14	-1410	2	1
15	2710	0	1
18	2960	3	1
17	2910	4	1
20	2090	2	1
19	2670	3	1
6	0	2	1
3	400	1	1
0	380	0	1
7	690	0	1
8	2240	0	1
9	9080	0	1
10	490	3	1
11	6380	0	1
12	1910	2	1
13	1360	2	1
14	-1500	2	1
15	2590	0	1
16	1240	1	1
17	2870	4	1
18	2950	3	1
19	2660	3	1
20	2050	2	1
16	1240	1	1
0	370	0	1
6	0	2	1
5	3450	0	1
9	8890	0	1
10	630	3	1
11	6020	0	1
12	1910	2	1
3	400	1	1
14	-1620	2	1
4	2200	0	1
4	2200	0	1
17	2810	4	1
4	2200	0	1
19	2620	3	1
7	680	0	1
8	2170	0	1
13	1310	2	1
15	2460	0	1
18	2960	3	1
20	2030	2	1
16	1240	1	1
6	0	2	1
3	400	1	1
7	670	0	1
8	2130	0	1
13	1360	2	1
0	390	0	1
15	2330	0	1
18	2960	3	1
9	8700	0	1
10	210	3	1
11	5710	0	1
12	1830	2	1
20	2020	2	1
14	-1700	2	1
17	2660	4	1
6	0	2	1
19	2440	3	1
3	400	1	1
4	2000	0	1
4	2000	0	1
4	2000	0	1
5	3450	0	1
5	3450	0	1
5	3450	0	1
7	650	0	1
8	2080	0	1
13	1330	2	1
15	2220	0	1
16	1240	1	1
18	2950	3	1
20	2020	2	1
6	0	2	1
3	400	1	1
7	640	0	1
8	2040	0	1
13	1440	2	1
15	2050	0	1
16	1240	1	1
0	370	0	1
18	2950	3	1
20	2020	2	1
9	8450	0	1
10	100	3	1
11	5220	0	1
12	1780	2	1
16	1240	1	1
14	-1740	2	1
6	0	2	1
3	400	1	1
17	2380	4	1
7	630	0	1
19	2230	3	1
8	2000	0	1
13	1300	2	1
15	2000	0	1
0	380	0	1
18	2980	3	1
20	2020	2	1
9	7960	0	1
10	410	3	1
11	4680	0	1
12	1760	2	1
15	1930	0	1
14	-1740	2	1
6	0	2	1
3	400	1	1
17	2200	4	1
7	620	0	1
19	2050	3	1
8	1960	0	1
13	1280	2	1
16	1240	1	1
0	380	0	1
18	2990	3	1
20	2000	2	1
9	7350	0	1
10	-190	3	1
11	3800	0	1
12	1690	2	1
6	0	2	1
14	-1780	2	1
4	1700	0	1
5	3450	0	1
17	2050	4	1
4	1700	0	1
19	1920	3	1
5	3450	0	1
7	620	0	1
8	1930	0	1
13	1430	2	1
15	1840	0	1
16	1240	1	1
18	3090	3	1
20	2080	2	1
6	0	2	1
0	380	0	1
7	610	0	1
8	1900	0	1
9	7060	0	1
10	-50	3	1
11	3460	0	1
12	1690	2	1
13	1300	2	1
14	-1790	2	1
15	1740	0	1
16	1240	1	1
17	1960	4	1
18	3250	3	1
19	1800	3	1
20	2100	2	1
6	0	2	1
4	1500	0	1
0	400	0	1
5	3450	0	1
4	1500	0	1
9	6800	0	1
10	280	3	1
11	3290	0	1
12	1140	2	1
5	3450	0	1
14	-1900	2	1
4	1500	0	1
5	3450	0	1
17	1910	4	1
4	1500	0	1
19	1750	3	1
5	3450	0	1
4	1500	0	1
4	1500	0	1
4	1500	0	1
4	1500	0	1
4	1500	0	1
4	1500	0	1
7	600	0	1
